Galaxy Name,Type (RC3),err,D,GLON,GLAT,Vgsr (RC3),wts
And III,E?,0.2,0.759,119.4,-26.3,-177,5
"M31, NGC 0224",SAS3,0.08,0.759,121.2,-21.6,-121,12.5
IC 0010,IB.9,0.2,0.76,119,-3.3,-146,5
"DDO 216, Peg DIG",I..9,0.2,0.76,94.8,-43.6,-20,5
"Cassiopeia Dwarf, And VII",Sph?,0.2,0.76,109.5,-10,-95,5
"M33, NGC 0598",SAS6,0.2,0.76,133.6,-31.3,-46,5
"DDO 216, Peg DIG",I..9,0.2,0.76,94.8,-43.6,-20,5
"Cassiopeia Dwarf, And VII",Sph?,0.2,0.762,109.5,-10,-95,5
"IC 1613, DDO 008",IBS9,0.13,0.766,129.7,-60.6,-152,7.692307692
"IC 1613, DDO 008",IBS9,0.12,0.766,129.7,-60.6,-152,8.333333333
And IX,dE,0.07,0.766,123.2,-19.7,-40,14.28571429
"DDO 069, Leo A",IB.9,0.15,0.769,196.9,52.4,-19,6.666666667
"M31, NGC 0224",SAS3,0.14,0.769,121.2,-21.6,-121,7.142857143
LGS 3,I?,0.08,0.769,126.8,-40.9,-149,12.5
LGS 3,I?,0.07,0.769,126.8,-40.9,-149,14.28571429
"IC 1613, DDO 008",IBS9,0.13,0.77,129.7,-60.6,-152,7.692307692
"M31, NGC 0224",SAS3,0.1,0.77,121.2,-21.6,-121,10
"M31, NGC 0224",SAS3,0.12,0.772,121.2,-21.6,-121,8.333333333
"M31, NGC 0224",SAS3,0.2,0.773,121.2,-21.6,-121,5
"M31, NGC 0224",SAS3,0.2,0.773,121.2,-21.6,-121,5
NGC 0147,E.5.P,0.16,0.773,119.8,-14.3,28,6.25
"M31, NGC 0224",SAS3,0.09,0.773,121.2,-21.6,-121,11.11111111
And V,dSph,0.08,0.773,126.2,-15.1,-227,12.5
"M31, NGC 0224",SAS3,0.07,0.773,121.2,-21.6,-121,14.28571429
"M31, NGC 0224",SAS3,0.11,0.774,121.2,-21.6,-121,9.090909091
"And VI, Peg dw Sph",Sph?,0.1,0.775,106,-36.3,-180,10
"IC 1613, DDO 008",IBS9,0.15,0.776,129.7,-60.6,-152,6.666666667
"M32, NGC 0221",CE.2,0.2,0.78,121.1,-22,-28,5
"M31, NGC 0224",SAS3,0.23,0.783,121.2,-21.6,-121,4.347826087
"M33, NGC 0598",SAS6,0.13,0.783,133.6,-31.3,-46,7.692307692
"M31, NGC 0224",SAS3,0.12,0.783,121.2,-21.6,-121,8.333333333
"M31, NGC 0224",SAS3,0.11,0.783,121.2,-21.6,-121,9.090909091
"M33, NGC 0598",SAS6,0.11,0.783,133.6,-31.3,-46,9.090909091
"DDO 069, Leo A",IB.9,0.1,0.783,196.9,52.4,-19,10
"And VI, Peg dw Sph",Sph?,0.07,0.783,106,-36.3,-180,14.28571429
"M31, NGC 0224",SAS3,0.05,0.783,121.2,-21.6,-121,20
"M31, NGC 0224",SAS3,0.07,0.785,121.2,-21.6,-121,14.28571429
"M32, NGC 0221",CE.2,0.05,0.787,121.1,-22,-28,20
"Cassiopeia Dwarf, And VII",Sph?,0.2,0.79,109.5,-10,-95,5
And IX,dE,0.2,0.79,123.2,-19.7,-40,5
And I,E.3.P$,0.15,0.79,121.7,-24.8,-197,6.666666667
"M31, NGC 0224",SAS3,0.05,0.79,121.2,-21.6,-121,20
"IC 1613, DDO 008",IBS9,0.2,0.791,129.7,-60.6,-152,5
"M31, NGC 0224",SAS3,0.11,0.791,121.2,-21.6,-121,9.090909091
And I,E.3.P$,0.06,0.791,121.7,-24.8,-197,16.66666667
"DDO 069, Leo A",IB.9,0.03,0.791,196.9,52.4,-19,33.33333333
"M31, NGC 0224",SAS3,0.2,0.794,121.2,-21.6,-121,5
"And VI, Peg dw Sph",Sph?,0.2,0.794,106,-36.3,-180,5
And I,E.3.P$,0.15,0.794,121.7,-24.8,-197,6.666666667
"M31, NGC 0224",SAS3,0.1,0.794,121.2,-21.6,-121,10
"M31, NGC 0224",SAS3,0.08,0.794,121.2,-21.6,-121,12.5
"M33, NGC 0598",SAS6,0.06,0.794,133.6,-31.3,-46,16.66666667
"M33, NGC 0598",SAS6,0.05,0.794,133.6,-31.3,-46,20
"DDO 069, Leo A",IB.9,0.12,0.798,196.9,52.4,-19,8.333333333
"M32, NGC 0221",CE.2,0.09,0.798,121.1,-22,-28,11.11111111
"M33, NGC 0598",SAS6,0.2,0.8,133.6,-31.3,-46,5
"M33, NGC 0598",SAS6,0.15,0.802,133.6,-31.3,-46,6.666666667
"M33, NGC 0598",SAS6,0.14,0.802,133.6,-31.3,-46,7.142857143
"M33, NGC 0598",SAS6,0.14,0.802,133.6,-31.3,-46,7.142857143
"DDO 069, Leo A",IB.9,0.09,0.802,196.9,52.4,-19,11.11111111
And V,dSph,0.2,0.805,126.2,-15.1,-227,5
"DDO 069, Leo A",IB.9,0.06,0.805,196.9,52.4,-19,16.66666667
"IC 1613, DDO 008",IBS9,0.05,0.805,129.7,-60.6,-152,20
"M31, NGC 0224",SAS3,0.07,0.809,121.2,-21.6,-121,14.28571429
"M33, NGC 0598",SAS6,0.06,0.809,133.6,-31.3,-46,16.66666667
